,groups,target,when,super_hero_group,tracking,place,tracking_times,crystal_type,unnamed_7,human_behavior_report,human_measure,crystal_weight,expected_factor_x,previous_factor_x,first_factor_x,expected_final_factor_x,final_factor_x,previous_adamantium,unnamed_17,etherium_before_start,expected_start,start_process,start_subprocess1,start_critical_subprocess1,predicted_process_end,process_end,subprocess1_end,reported_on_tower,opened,chemical_x,raw_kryptonite,argon,pure_seastone,crystal_supergroup,cycle
15,0,19.74025974,10/07/2020,D,85171,1,1,group 27,9,2,680,348.3889,1635,1625.400024,1600.0,1582.0,1596.0,0.0412,1600.0,,10/07/2020 14:50,10/07/2020 14:48,10/07/2020 14:53,,10/07/2020 15:35,10/07/2020 15:11,10/07/2020 15:09,10/07/2020 15:39,10/07/2020 16:24,16.26666667,,0.0,468.15,0,2ª
16,0,20.97402597,10/07/2020,D,85181,1,1,group 27,11,1,740,304.3125,1644,1644.800049,1610.0,1585.0,1601.0,0.315,1610.0,,10/07/2020 15:42,10/07/2020 15:37,10/07/2020 15:42,10/07/2020 15:44,10/07/2020 16:20,10/07/2020 16:00,10/07/2020 15:58,10/07/2020 16:39,10/07/2020 17:12,16.13333333,1509.0,0.0,436.1,0,2ª
17,0,22.20779221,10/07/2020,D,85191,1,1,group 27,1,1,760,355.7655,1645,1648.800049,1618.0,1585.0,1600.0,0.254,1618.0,,10/07/2020 16:43,10/07/2020 16:41,10/07/2020 16:46,10/07/2020 16:50,10/07/2020 17:26,10/07/2020 17:04,10/07/2020 17:02,10/07/2020 17:23,10/07/2020 17:58,16.16666667,4308.0,0.0,558.47,0,2ª
18,0,23.44155844,10/07/2020,D,85201,1,1,group 27,7,4,590,349.3721,1607,1618.900024,1600.0,1578.0,1583.0,0.295,1600.0,,10/07/2020 17:36,10/07/2020 17:34,10/07/2020 17:37,10/07/2020 17:41,10/07/2020 18:14,10/07/2020 17:59,10/07/2020 17:56,10/07/2020 18:19,10/07/2020 18:46,19.03333333,4563.0,0.0,500.53,0,2ª
19,0,24.67532468,10/07/2020,D,85211,1,1,group 27,6,4,620,342.2796,1604,1612.699951,1603.0,1575.0,1580.0,0.313,1603.0,,10/07/2020 18:34,10/07/2020 18:31,10/07/2020 18:35,,10/07/2020 19:02,10/07/2020 19:00,10/07/2020 18:57,10/07/2020 19:07,10/07/2020 19:34,22.35,2565.0,0.0,548.67,0,2ª
20,0,25.90909091,10/07/2020,B,85231,1,1,group 27,6,4,440,339.3929,1608,1623.300049,1601.0,1578.0,1579.0,0.31,1601.0,,10/07/2020 21:44,10/07/2020 21:45,10/07/2020 21:49,,10/07/2020 22:10,10/07/2020 22:14,10/07/2020 22:12,10/07/2020 22:23,10/07/2020 23:00,23.21666667,3624.0,0.0,530.44,0,2ª
21,0,27.14285714,11/07/2020,B,585121,1,1,group 27,6,4,610,323.1713,1611,1605.199951,1583.0,1579.0,1581.0,0.0256,1583.0,,11/07/2020 01:08,11/07/2020 01:06,11/07/2020 01:10,,11/07/2020 01:46,11/07/2020 01:30,11/07/2020 01:27,11/07/2020 01:50,11/07/2020 02:32,17.61666667,,121.594157,236.93,0,2ª
22,0,28.37662338,11/07/2020,B,85251,1,1,group 27,7,1,360,353.2757,1629,1631.800049,1622.0,1576.0,1579.0,0.308,1622.0,,11/07/2020 03:54,11/07/2020 03:55,11/07/2020 03:59,11/07/2020 04:06,11/07/2020 04:14,11/07/2020 04:26,11/07/2020 04:23,11/07/2020 04:32,11/07/2020 04:38,24.18333333,4788.0,0.0,586.53,0,2ª
23,0,29.61038961,11/07/2020,B,85271,1,1,group 27,9,2,500,337.0568,1624,1607.0,1593.0,1576.0,1576.0,0.301,1593.0,,11/07/2020 07:36,11/07/2020 07:35,11/07/2020 07:38,,11/07/2020 08:01,11/07/2020 08:09,11/07/2020 08:09,11/07/2020 08:24,11/07/2020 08:30,31.1,,152.1786999,659.86,0,2ª
24,0,30.84415584,11/07/2020,A,85281,1,1,group 27,2,1,650,345.2278,1648,1611.900024,1592.0,1593.0,1591.0,0.304,1592.0,,11/07/2020 08:43,11/07/2020 08:47,11/07/2020 08:50,,11/07/2020 09:09,11/07/2020 09:23,11/07/2020 09:21,11/07/2020 09:44,11/07/2020 10:04,30.86666667,,251.495275,805.39,0,2ª
25,0,32.07792208,11/07/2020,A,85311,1,1,group 27,10,1,680,326.247,1642,1623.400024,1608.0,1585.0,1593.0,0.321,1608.0,,11/07/2020 12:39,11/07/2020 12:43,11/07/2020 12:48,,11/07/2020 13:12,11/07/2020 13:11,11/07/2020 13:08,11/07/2020 13:33,11/07/2020 13:49,19.81666667,426.0,0.0,487.36,0,2ª
26,0,33.31168831,11/07/2020,A,85331,1,1,group 27,11,4,650,339.2183,1604,1626.699951,1608.0,1575.0,1578.0,0.298,1608.0,,11/07/2020 14:22,11/07/2020 14:25,11/07/2020 14:29,,11/07/2020 14:51,11/07/2020 14:54,11/07/2020 14:51,11/07/2020 15:11,11/07/2020 15:20,22.26666667,2733.0,0.0,446.96,0,2ª
27,0,34.54545455,11/07/2020,A,85341,1,1,group 27,9,4,600,340.5913,1604,1636.400024,1621.0,1572.0,1576.0,0.262,1621.0,,11/07/2020 15:12,11/07/2020 15:11,11/07/2020 15:15,,11/07/2020 15:56,11/07/2020 15:46,11/07/2020 15:45,11/07/2020 15:53,11/07/2020 16:12,29.48333333,5667.0,0.0,529.92,0,2ª
28,0,35.77922078,11/07/2020,A,85351,1,1,group 27,10,2,650,335.1357,1619,1635.099976,1617.0,1574.0,1587.0,0.221,1617.0,,11/07/2020 16:16,11/07/2020 16:15,11/07/2020 16:18,,11/07/2020 17:02,11/07/2020 16:42,11/07/2020 16:41,11/07/2020 16:52,11/07/2020 17:11,23.21666667,2619.0,0.0,495.26,0,2ª
29,0,37.01298701,11/07/2020,A,85361,1,1,group 27,7,3,650,350.1169,1606,1638.599976,1624.0,1574.0,1582.0,0.033,1624.0,,11/07/2020 17:20,11/07/2020 17:22,11/07/2020 17:27,,11/07/2020 18:00,11/07/2020 17:49,11/07/2020 17:47,11/07/2020 17:58,11/07/2020 18:11,20.63333333,5535.0,0.0,130.13,0,2ª
30,0,38.24675325,11/07/2020,A,85371,1,1,group 27,11,3,690,351.1423,1608,1634.599976,1600.0,1574.0,1583.0,0.256,1600.0,,11/07/2020 18:15,11/07/2020 18:10,11/07/2020 18:12,,11/07/2020 18:41,11/07/2020 18:39,11/07/2020 18:39,11/07/2020 18:48,11/07/2020 19:07,27.65,1287.0,0.0,449.97,0,2ª
31,0,39.48051948,11/07/2020,A,585231,1,1,group 27,9,3,700,343.6502,1610,1616.800049,1614.0,1578.0,1581.0,0.167,1614.0,,11/07/2020 18:59,11/07/2020 18:50,11/07/2020 18:53,,11/07/2020 19:16,11/07/2020 19:20,11/07/2020 19:20,11/07/2020 19:36,11/07/2020 19:56,27.6,3861.0,0.0,688.58,0,2ª
32,0,40.71428571,11/07/2020,D,585241,1,1,group 27,10,2,810,336.7999,1642,1634.5,1586.0,1589.0,1586.0,0.0181,1586.0,,11/07/2020 20:00,11/07/2020 20:15,11/07/2020 20:18,,11/07/2020 20:44,11/07/2020 20:41,11/07/2020 20:32,11/07/2020 21:22,11/07/2020 21:30,14.68333333,,0.07843876,265.19,0,2ª
33,0,41.94805195,11/07/2020,D,85391,1,1,group 27,6,3,650,344.2473,1628,1630.599976,1598.0,1580.0,1583.0,0.272,1598.0,,11/07/2020 21:04,11/07/2020 21:14,11/07/2020 21:16,,11/07/2020 21:41,11/07/2020 21:37,11/07/2020 21:34,11/07/2020 21:44,11/07/2020 22:16,17.6,1026.0,0.0,449.24,0,2ª
34,0,43.18181818,11/07/2020,D,85411,1,1,group 27,8,4,800,336.2815,1607,1605.900024,1592.0,1577.0,1581.0,0.248,1592.0,,11/07/2020 22:39,11/07/2020 22:39,11/07/2020 22:44,,11/07/2020 23:15,11/07/2020 23:04,11/07/2020 23:02,11/07/2020 23:19,11/07/2020 23:48,17.78333333,342.0,0.0,490.09,0,2ª
35,0,44.41558442,12/07/2020,D,85451,1,1,group 27,11,3,680,343.402,1623,1643.099976,1610.0,1579.0,1587.0,0.0291,1610.0,,12/07/2020 03:43,12/07/2020 03:45,12/07/2020 04:14,12/07/2020 03:53,12/07/2020 04:53,12/07/2020 04:25,12/07/2020 04:23,12/07/2020 04:53,12/07/2020 05:24,33.13333333,,0.0,185.09,0,2ª
36,0,45.64935065,12/07/2020,D,85461,1,1,group 27,10,1,690,341.1961,1641,1644.699951,1625.0,1586.0,1596.0,0.302,1625.0,,12/07/2020 05:10,12/07/2020 05:05,12/07/2020 05:10,12/07/2020 05:12,12/07/2020 05:36,12/07/2020 05:27,12/07/2020 05:24,12/07/2020 05:40,12/07/2020 06:12,14.65,4368.0,0.0,504.58,0,2ª
37,0,46.88311688,12/07/2020,D,85471,1,1,group 27,2,4,700,346.9393,1606,1600.900024,1588.0,1577.0,1583.0,0.254,1588.0,,12/07/2020 05:57,12/07/2020 05:58,12/07/2020 06:02,12/07/2020 06:05,12/07/2020 06:29,12/07/2020 06:19,12/07/2020 06:18,12/07/2020 06:35,12/07/2020 07:02,15.51666667,318.0,0.0,527.29,0,2ª
38,0,48.11688312,12/07/2020,D,85481,1,1,group 27,9,1,670,335.8686,1638,1623.800049,1605.0,1583.0,1588.0,0.342,1605.0,,12/07/2020 06:53,12/07/2020 06:46,12/07/2020 06:51,12/07/2020 06:59,12/07/2020 07:18,12/07/2020 07:14,12/07/2020 07:11,12/07/2020 07:30,12/07/2020 07:50,20.81666667,747.0,0.0,456.52,0,2ª
39,0,49.35064935,12/07/2020,A,85501,1,1,group 27,8,4,690,342.3729,1606,1594.0,1585.0,1576.0,1579.0,0.333,1585.0,,12/07/2020 08:52,12/07/2020 08:41,12/07/2020 08:46,,12/07/2020 09:23,12/07/2020 09:07,12/07/2020 09:04,12/07/2020 09:36,12/07/2020 09:51,17.36666667,,0.0,473.73,0,2ª
40,0,50.58441558,12/07/2020,A,85511,1,1,group 27,7,3,650,348.0487,1614,1628.699951,1611.0,1579.0,1583.0,0.248,1611.0,,12/07/2020 11:12,12/07/2020 11:10,12/07/2020 11:13,,12/07/2020 11:41,12/07/2020 11:43,12/07/2020 11:40,12/07/2020 11:53,12/07/2020 12:23,26.68333333,2733.0,0.0,486.63,0,2ª
41,0,51.81818182,12/07/2020,A,85521,1,1,group 27,8,4,690,342.0687,1605,1620.099976,1603.0,1576.0,1583.0,0.252,1603.0,,12/07/2020 12:01,12/07/2020 12:00,12/07/2020 12:05,,12/07/2020 12:27,12/07/2020 12:31,12/07/2020 12:30,12/07/2020 12:41,12/07/2020 13:10,24.65,1329.0,0.0,468.38,0,2ª
42,0,53.05194805,12/07/2020,A,85531,1,1,group 27,9,2,690,336.0503,1642,1630.5,1589.0,1583.0,1594.0,0.319,1589.0,,12/07/2020 13:08,12/07/2020 13:12,12/07/2020 13:18,,12/07/2020 14:16,12/07/2020 14:05,12/07/2020 14:04,12/07/2020 14:16,12/07/2020 14:47,46.33333333,315.0,312.7007434,758.25,0,2ª
43,0,54.28571429,12/07/2020,A,85551,1,1,group 35,8,3,650,348.0679,1651,1656.300049,1634.0,1584.0,1590.0,0.0133,1634.0,,12/07/2020 15:43,12/07/2020 15:42,12/07/2020 15:53,12/07/2020 15:55,12/07/2020 16:25,12/07/2020 16:24,12/07/2020 16:13,12/07/2020 16:40,12/07/2020 16:56,19.66666667,2847.0,0.0,133.66,0,2ª
44,0,55.51948052,12/07/2020,A,85561,1,1,group 35,2,3,650,345.5976,1636,1627.900024,1619.0,1572.0,1584.0,0.019,1619.0,,12/07/2020 16:35,12/07/2020 16:34,12/07/2020 16:39,12/07/2020 16:41,12/07/2020 17:12,12/07/2020 17:06,12/07/2020 16:58,12/07/2020 17:15,12/07/2020 17:51,19.26666667,3360.0,0.0,70.1,0,2ª
45,0,56.75324675,12/07/2020,A,85581,1,1,group 35,7,3,700,328.0874,1639,1649.699951,1631.0,1571.0,1586.0,0.0124,1631.0,,12/07/2020 18:27,12/07/2020 18:24,12/07/2020 18:29,12/07/2020 18:31,12/07/2020 19:09,12/07/2020 18:55,12/07/2020 18:47,12/07/2020 19:02,12/07/2020 19:35,17.95,5625.0,0.0,102.79,0,2ª
46,0,57.98701299,12/07/2020,A,85591,1,1,group 35,8,3,690,342.2094,1636,1639.0,1625.0,1571.0,1585.0,0.0431,1625.0,,12/07/2020 19:29,12/07/2020 19:31,12/07/2020 19:35,12/07/2020 19:37,12/07/2020 20:12,12/07/2020 20:01,12/07/2020 19:53,12/07/2020 20:07,12/07/2020 20:35,17.45,4638.0,0.0,,0,2ª
47,0,59.22077922,12/07/2020,D,585451,1,1,group 35,6,3,750,323.1076,1637,1633.800049,1607.0,1572.0,1586.0,0.0146,1607.0,,12/07/2020 21:41,12/07/2020 21:40,12/07/2020 21:45,12/07/2020 21:47,12/07/2020 22:29,12/07/2020 22:05,12/07/2020 21:57,12/07/2020 22:11,12/07/2020 22:47,11.51666667,2121.0,0.0,42.97,0,2ª
48,0,60.45454545,13/07/2020,D,85631,1,1,group 35,6,4,700,329.097,1629,1642.400024,1604.0,1570.0,1573.0,0.0337,1604.0,,13/07/2020 00:56,13/07/2020 00:55,13/07/2020 01:01,13/07/2020 01:03,13/07/2020 01:36,13/07/2020 01:30,13/07/2020 01:22,13/07/2020 01:37,13/07/2020 01:49,21.26666667,5606.0,0.0,,0,2ª
49,0,61.68831169,13/07/2020,D,85671,1,1,group 35,10,3,890,318.3069,1649,1646.400024,1618.0,1584.0,1586.0,0.0273,1618.0,,13/07/2020 05:59,13/07/2020 05:58,13/07/2020 06:04,13/07/2020 06:06,13/07/2020 06:37,13/07/2020 06:28,13/07/2020 06:20,13/07/2020 06:44,13/07/2020 07:06,15.83333333,2553.0,0.0,46.5,0,2ª
50,0,62.92207792,13/07/2020,D,85681,1,1,group 35,11,2,800,330.3081,1648,1630.199951,1595.0,1572.0,1582.0,0.0443,1595.0,,13/07/2020 06:57,13/07/2020 07:03,13/07/2020 07:05,13/07/2020 07:06,13/07/2020 07:41,13/07/2020 07:39,13/07/2020 07:27,13/07/2020 07:45,13/07/2020 08:00,22.65,891.0,0.0,,0,2ª
51,0,64.15584416,13/07/2020,C,85701,1,1,group 35,7,3,500,346.6829,1640,1642.800049,1617.0,1579.0,1588.0,0.0097,1617.0,,13/07/2020 08:57,13/07/2020 08:55,13/07/2020 08:58,13/07/2020 09:00,13/07/2020 09:36,13/07/2020 09:25,13/07/2020 09:18,13/07/2020 09:36,13/07/2020 10:06,19.31666667,3684.0,0.0,121.5,0,2ª
52,0,65.38961039,13/07/2020,C,85721,1,1,group 35,2,4,700,348.267,1637,1649.099976,1631.0,1573.0,1580.0,0.0437,1631.0,21.04000092,13/07/2020 11:15,13/07/2020 11:24,13/07/2020 11:29,13/07/2020 11:50,13/07/2020 12:02,13/07/2020 12:05,13/07/2020 11:58,13/07/2020 12:12,13/07/2020 12:19,29.01666667,7317.0,281.567126,154.11,0,2ª
53,0,66.62337662,13/07/2020,C,85731,1,1,group 33,10,4,700,347.7656,1622,1665.800049,1643.0,1588.0,1595.0,,1643.0,,13/07/2020 13:16,13/07/2020 13:11,13/07/2020 13:19,13/07/2020 13:20,13/07/2020 14:10,13/07/2020 13:48,13/07/2020 13:42,13/07/2020 14:25,13/07/2020 14:31,23.35,7089.0,81.94288146,44.71,0,2ª
54,0,67.85714286,13/07/2020,C,85751,1,1,group 33,2,3,700,357.7943,1618,1637.400024,1620.0,1573.0,1577.0,0.056,1620.0,,13/07/2020 15:47,13/07/2020 15:49,13/07/2020 15:53,13/07/2020 15:58,13/07/2020 16:21,13/07/2020 16:22,13/07/2020 16:19,13/07/2020 16:29,13/07/2020 16:47,25.61666667,6069.0,152.5245297,87.52,0,2ª
55,0,69.09090909,13/07/2020,C,585631,1,1,group 33,9,1,400,350.5468,1649,1611.400024,1584.0,1587.0,1596.0,0.06,1584.0,,13/07/2020 17:51,13/07/2020 17:51,13/07/2020 17:53,13/07/2020 17:55,13/07/2020 18:32,13/07/2020 18:33,13/07/2020 18:31,13/07/2020 18:40,13/07/2020 19:07,38.41666667,489.0,547.1570703,562.54,0,2ª
56,0,70.32467532,13/07/2020,C,85781,1,1,group 33,16,1,800,341.3279,1645,1658.099976,1628.0,1583.0,1586.0,0.06,1628.0,,13/07/2020 19:10,13/07/2020 19:07,13/07/2020 19:09,13/07/2020 19:12,13/07/2020 20:04,13/07/2020 20:09,13/07/2020 20:09,13/07/2020 20:21,13/07/2020 20:29,59.31666667,7104.0,444.3429177,454.19,0,2ª
57,0,71.55844156,13/07/2020,A,85811,1,1,group 34,9,3,650,348.8051,1633,1634.900024,1603.0,1583.0,1582.0,0.058,1603.0,,13/07/2020 22:54,13/07/2020 22:52,13/07/2020 22:58,13/07/2020 23:00,13/07/2020 23:29,13/07/2020 23:42,13/07/2020 23:41,13/07/2020 23:56,14/07/2020 00:05,43.36666667,1086.0,182.5175308,180.6,0,2ª
58,0,72.79220779,14/07/2020,A,85831,1,1,group 34,2,3,690,344.3324,1626,1637.400024,1617.0,1576.0,1588.0,0.0488,1617.0,,14/07/2020 00:47,14/07/2020 00:46,14/07/2020 00:55,14/07/2020 00:57,14/07/2020 01:42,14/07/2020 01:16,14/07/2020 01:14,14/07/2020 01:36,14/07/2020 02:15,19.56666667,1833.0,0.0,75.05,0,2ª
59,0,74.02597403,14/07/2020,A,85841,1,1,group 34,8,3,650,338.8242,1623,1649.099976,1632.0,1576.0,1585.0,0.0458,1632.0,,14/07/2020 02:01,14/07/2020 01:59,14/07/2020 02:04,14/07/2020 02:05,14/07/2020 02:46,14/07/2020 02:30,14/07/2020 02:29,14/07/2020 02:53,14/07/2020 03:30,25.36666667,4560.0,0.0,49.65,0,2ª
60,0,75.25974026,14/07/2020,A,85861,1,1,group 34,10,4,650,345.9725,1606,1626.699951,1612.0,1573.0,1578.0,0.046,1612.0,,14/07/2020 03:30,14/07/2020 03:34,14/07/2020 03:38,14/07/2020 03:40,14/07/2020 04:13,14/07/2020 04:03,14/07/2020 04:02,14/07/2020 04:16,14/07/2020 04:33,23.1,4269.0,0.0,48.85,0,2ª
61,0,76.49350649,14/07/2020,A,85881,1,1,group 34,2,3,600,355.0938,1625,1640.099976,1625.0,1581.0,1586.0,0.0381,1625.0,,14/07/2020 05:38,14/07/2020 05:31,14/07/2020 05:35,14/07/2020 05:37,14/07/2020 06:14,14/07/2020 06:09,14/07/2020 06:08,14/07/2020 06:21,14/07/2020 06:53,32.8,2586.0,0.0,111.57,0,2ª
62,0,77.72727273,14/07/2020,C,85891,1,1,group 23,6,3,550,337.7337,1627,1651.699951,1630.0,1592.0,1605.0,0.083,1630.0,,14/07/2020 08:40,14/07/2020 08:34,14/07/2020 08:40,,14/07/2020 09:40,14/07/2020 09:08,14/07/2020 09:07,14/07/2020 09:55,14/07/2020 10:05,27.08333333,,0.0,,0,2ª
63,0,78.96103896,14/07/2020,C,85901,1,1,group 23,2,4,700,351.8124,1601,1669.5,1631.0,1581.0,1584.0,0.0169,1631.0,,14/07/2020 09:57,14/07/2020 10:05,14/07/2020 10:10,14/07/2020 10:12,14/07/2020 10:23,14/07/2020 10:30,14/07/2020 10:29,14/07/2020 11:19,14/07/2020 11:39,18.6,8193.0,0.0,176.99,0,2ª
64,0,80.19480519,14/07/2020,C,85921,1,1,group 23,6,4,400,346.5458,1604,1589.800049,1571.0,1576.0,1575.0,0.0273,1571.0,,14/07/2020 12:05,14/07/2020 12:07,14/07/2020 12:11,,14/07/2020 12:31,14/07/2020 12:30,14/07/2020 12:29,14/07/2020 12:42,14/07/2020 12:58,17.78333333,,162.4371554,243.22,0,2ª
65,0,81.42857143,14/07/2020,C,585771,1,1,group 23,2,4,600,341.9293,1604,1629.199951,1611.0,1575.0,1578.0,0.0169,1611.0,,14/07/2020 13:33,14/07/2020 13:35,14/07/2020 13:40,14/07/2020 13:42,14/07/2020 14:01,14/07/2020 13:54,14/07/2020 13:53,14/07/2020 14:14,14/07/2020 14:27,12.73333333,4536.0,0.0,181.12,0,2ª
66,0,82.66233766,14/07/2020,C,585781,1,1,group 23,16,2,650,334.3036,1631,1606.300049,1574.0,1584.0,1584.0,0.0451,1574.0,,14/07/2020 14:58,14/07/2020 15:02,14/07/2020 15:03,,14/07/2020 15:30,14/07/2020 15:27,14/07/2020 15:26,14/07/2020 15:39,14/07/2020 16:06,23.45,,301.7143044,356.0,0,2ª
67,0,83.8961039,14/07/2020,C,85951,1,1,group 23,2,4,700,347.233,1608,1609.900024,1592.0,1576.0,1580.0,0.0421,1592.0,,14/07/2020 16:35,14/07/2020 16:35,14/07/2020 16:40,,14/07/2020 17:16,14/07/2020 16:57,14/07/2020 16:56,14/07/2020 17:30,14/07/2020 17:52,15.4,597.0,0.0,98.13,0,2ª
68,0,85.12987013,14/07/2020,C,85961,1,1,group 23,7,2,700,330.6393,1638,1646.900024,1620.0,1588.0,1596.0,0.0333,1620.0,,14/07/2020 17:34,14/07/2020 17:33,14/07/2020 17:37,14/07/2020 17:53,14/07/2020 18:09,14/07/2020 17:56,14/07/2020 17:54,14/07/2020 18:32,14/07/2020 18:43,16.5,2532.0,0.0,73.04,0,2ª
69,0,86.36363636,14/07/2020,A,85991,1,1,group 41,9,1,650,330.8399,1647,1632.199951,1612.0,1588.0,1591.0,0.0469,1612.0,,14/07/2020 20:22,14/07/2020 20:31,14/07/2020 20:37,14/07/2020 20:38,14/07/2020 20:59,14/07/2020 20:59,14/07/2020 20:58,14/07/2020 21:08,14/07/2020 21:52,21.73333333,,0.0,23.35,0,2ª
