index,when,super_hero_group,tracking,place,tracking_times,crystal_type,Unnamed_7,human_behavior_report,human_measure,crystal_weight,expected_factor_x,previous_factor_x,first_factor_x,expected_final_factor_x,final_factor_x,previous_adamantium,Unnamed_17,etherium_before_start,expected_start,start_process,start_subprocess1,start_critical_subprocess1,predicted_process_end,process_end,subprocess1_end,reported_on_tower,opened,chemical_x,raw_kryptonite,argon,pure_seastone,crystal_supergroup,Cycle,groups,target
10,10/7/2020,B,85071,1,1,group 27,1,3,0.08588516,0.743499515,0.124390591,0.012662382,0.72199693,1.029059514,1.295418224,0.309512696,0.72199693,326.2000122,10/7/2020 4:37,10/7/2020 4:35,10/7/2020 4:36,10/7/2020 4:39,10/7/2020 5:30,10/7/2020 5:06,10/7/2020 5:02,10/7/2020 5:27,10/7/2020 6:00,25.38333333,0.134352665,0.193995551,0.707516864,0,2ª,0,12.33766234
11,10/7/2020,B,85081,1,1,group 27,8,3,-1.796741755,0.649236195,-0.510969427,-1.015913909,-0.264942577,0.310326604,-0.244430068,1.141097502,-0.264942577,326.2000122,10/7/2020 5:35,10/7/2020 5:43,10/7/2020 5:46,,10/7/2020 6:22,10/7/2020 6:17,10/7/2020 6:14,10/7/2020 6:33,10/7/2020 6:57,28.26666667,0.13416446,0.26950865,0.756148084,0,2ª,0,13.57142857
12,10/7/2020,B,85101,1,1,group 27,6,1,-0.729509062,-1.080200462,0.54517171,1.076063238,1.139063219,0.897811911,1.010239507,-0.334528505,1.139063219,326.2000122,10/7/2020 7:45,10/7/2020 7:41,10/7/2020 7:43,,10/7/2020 8:12,10/7/2020 8:02,10/7/2020 8:00,10/7/2020 8:10,10/7/2020 8:41,16.81666667,-0.563265765,-0.002865065,-0.589550458,0,2ª,0,14.80519481
13,10/7/2020,D,85111,1,1,group 27,7,4,-0.623736611,0.392554331,-0.682056322,0.461558753,1.151413394,0.080487495,0.137930375,-0.015620454,1.151413394,326.2000122,10/7/2020 8:35,10/7/2020 8:42,10/7/2020 8:47,10/7/2020 8:49,10/7/2020 9:11,10/7/2020 9:12,10/7/2020 9:09,10/7/2020 9:18,10/7/2020 9:37,22.7,1.25860654,-0.001016634,0.643621702,0,2ª,0,16.03896104
14,10/7/2020,D,85121,1,1,group 27,9,4,0.172204285,0.443636261,-0.910792946,0.024126615,-0.023756718,0.0061923,-0.00767111,0.746397226,-0.023756718,326.2000122,10/7/2020 9:43,10/7/2020 9:41,10/7/2020 9:45,10/7/2020 9:48,10/7/2020 10:07,10/7/2020 10:03,10/7/2020 10:00,10/7/2020 10:14,10/7/2020 10:31,14.96666667,1.153506237,-0.00452867,0.553922122,0,2ª,0,17.27272727
15,10/7/2020,D,85161,1,1,group 27,12,3,0.274883216,1.235839388,0.260387525,0.666331015,0.992603973,1.534164491,1.469043827,0.226260291,0.992603973,326.2000122,10/7/2020 14:03,10/7/2020 14:03,10/7/2020 14:06,,10/7/2020 14:29,10/7/2020 14:27,10/7/2020 14:26,10/7/2020 14:37,10/7/2020 15:29,20.2,-0.871138532,-0.004713516,0.340535799,0,2ª,0,18.50649351
16,10/7/2020,D,85171,1,1,group 27,9,2,0.172775558,0.50953055,0.158336933,0.159853579,0.232885061,0.326898858,0.892457278,-0.170681436,0.232885061,326.2000122,10/7/2020 14:50,10/7/2020 14:48,10/7/2020 14:53,,10/7/2020 15:35,10/7/2020 15:11,10/7/2020 15:09,10/7/2020 15:39,10/7/2020 16:24,16.26666667,0.133976265,-0.00508321,0.32053566,0,2ª,0,19.74025974
17,10/7/2020,D,85181,1,1,group 27,11,1,0.585634485,-2.250379799,0.473056533,0.910792946,0.621829638,0.549911486,1.168447193,1.05478371,0.621829638,326.2000122,10/7/2020 15:42,10/7/2020 15:37,10/7/2020 15:42,10/7/2020 15:44,10/7/2020 16:20,10/7/2020 16:00,10/7/2020 15:58,10/7/2020 16:39,10/7/2020 17:12,16.13333333,-0.543680024,-0.005268057,0.246000453,0,2ª,0,20.97402597
18,10/7/2020,D,85191,1,1,group 27,1,1,0.698126408,1.092229544,0.530606759,1.054221722,0.938164371,0.549411401,1.105209884,0.341366314,0.938164371,326.2000122,10/7/2020 16:43,10/7/2020 16:41,10/7/2020 16:46,10/7/2020 16:50,10/7/2020 17:26,10/7/2020 17:04,10/7/2020 17:02,10/7/2020 17:23,10/7/2020 17:58,16.16666667,1.006153173,-0.0061923,0.558960622,0,2ª,0,22.20779221
19,10/7/2020,D,85201,1,1,group 27,7,4,-0.388678725,0.590597774,-0.914619654,-0.08495418,0.231714514,0.006007451,0.093338503,0.733612721,0.231714514,326.2000122,10/7/2020 17:36,10/7/2020 17:34,10/7/2020 17:37,10/7/2020 17:41,10/7/2020 18:14,10/7/2020 17:59,10/7/2020 17:56,10/7/2020 18:19,10/7/2020 18:46,19.03333333,1.056473682,-0.022092261,0.397523735,0,2ª,0,23.44155844
20,10/7/2020,D,85211,1,1,group 27,6,4,-0.195915582,0.024866428,-1.10270869,-0.317466018,0.344068749,-0.158147403,-0.1232644,1.015913909,0.344068749,326.2000122,10/7/2020 18:34,10/7/2020 18:31,10/7/2020 18:35,,10/7/2020 19:02,10/7/2020 19:00,10/7/2020 18:57,10/7/2020 19:07,10/7/2020 19:34,22.35,0.633064396,-0.02246213,0.531341891,0,2ª,0,24.67532468
21,10/7/2020,B,85231,1,1,group 27,6,4,-1.242708131,-0.244233855,-0.878289462,0.086816289,0.26950865,0.005822602,-0.181549466,0.966077688,0.26950865,326.2000122,10/7/2020 21:44,10/7/2020 21:45,10/7/2020 21:49,,10/7/2020 22:10,10/7/2020 22:14,10/7/2020 22:12,10/7/2020 22:23,10/7/2020 23:00,23.21666667,0.865637684,-0.023016944,0.480946898,0,2ª,0,25.90909091
22,11/7/2020,B,585121,1,1,group 27,6,4,-0.23796486,-1.346168141,-0.706298193,-0.580699884,-0.454718403,0.07156357,-0.084768001,-0.584593257,-0.454718403,326.2000122,11/7/2020 1:08,11/7/2020 1:06,11/7/2020 1:10,,11/7/2020 1:46,11/7/2020 1:30,11/7/2020 1:27,11/7/2020 1:50,11/7/2020 2:32,17.61666667,0.133599904,0.200144762,-0.239334589,0,2ª,0,27.14285714
23,11/7/2020,B,85251,1,1,group 27,7,1,-1.933223791,0.882301312,-0.035227045,0.392769988,1.107094894,-0.124015159,-0.183842861,0.938164371,1.107094894,326.2000122,11/7/2020 3:54,11/7/2020 3:55,11/7/2020 3:59,11/7/2020 4:06,11/7/2020 4:14,11/7/2020 4:26,11/7/2020 4:23,11/7/2020 4:32,11/7/2020 4:38,24.18333333,1.108987805,-0.015990231,0.626195121,0,2ª,0,28.37662338
24,11/7/2020,B,85271,1,1,group 27,9,2,-0.863685739,-0.416942591,-0.222955374,-0.510969427,-0.062836602,-0.127395318,-0.373078417,0.83035473,-0.062836602,326.2000122,11/7/2020 7:36,11/7/2020 7:35,11/7/2020 7:38,,11/7/2020 8:01,11/7/2020 8:09,11/7/2020 8:09,11/7/2020 8:24,11/7/2020 8:30,31.1,0.133411737,0.278475084,0.76438502,0,2ª,0,29.61038961
25,11/7/2020,A,85281,1,1,group 27,2,1,0.030971003,0.254659534,0.643901462,-0.345942612,-0.11520233,0.956299564,0.63610587,0.884722118,-0.11520233,326.2000122,11/7/2020 8:43,11/7/2020 8:47,11/7/2020 8:50,,11/7/2020 9:09,11/7/2020 9:23,11/7/2020 9:21,11/7/2020 9:44,11/7/2020 10:04,30.86666667,0.133035433,0.552416051,1.030661066,0,2ª,0,30.84415584
26,11/7/2020,A,85311,1,1,group 27,10,1,0.17315647,-1.151413394,0.411675618,0.089796923,0.536750528,0.565298952,0.728565548,1.143824657,0.536750528,326.2000122,11/7/2020 12:39,11/7/2020 12:43,11/7/2020 12:48,,11/7/2020 13:12,11/7/2020 13:11,11/7/2020 13:08,11/7/2020 13:33,11/7/2020 13:49,19.81666667,-1.2640502,-0.000462106,0.364396067,0,2ª,0,32.07792208
27,11/7/2020,A,85331,1,1,group 27,11,4,0.031341047,-0.257817714,-1.093449963,0.206502035,0.542686909,-0.186329558,-0.247965143,0.788708179,0.542686909,326.2000122,11/7/2020 14:22,11/7/2020 14:25,11/7/2020 14:29,,11/7/2020 14:51,11/7/2020 14:54,11/7/2020 14:51,11/7/2020 15:11,11/7/2020 15:20,22.26666667,0.672697455,0.015990231,0.273488297,0,2ª,0,33.31168831
28,11/7/2020,A,85341,1,1,group 27,9,4,-0.361022753,-0.156252731,-1.104583289,0.573735793,1.058736409,-0.310326604,-0.374141072,0.394496559,1.058736409,326.2000122,11/7/2020 15:12,11/7/2020 15:11,11/7/2020 15:15,,11/7/2020 15:56,11/7/2020 15:46,11/7/2020 15:45,11/7/2020 15:53,11/7/2020 16:12,29.48333333,1.286610092,0.015805342,0.477922972,0,2ª,0,34.54545455
29,11/7/2020,A,85351,1,1,group 27,10,2,0.031526072,-0.55066213,-0.387174698,0.525233195,0.899469887,-0.192076949,0.389969291,0.246393239,0.899469887,326.2000122,11/7/2020 16:16,11/7/2020 16:15,11/7/2020 16:18,,11/7/2020 17:02,11/7/2020 16:42,11/7/2020 16:41,11/7/2020 16:52,11/7/2020 17:11,23.21666667,0.648391416,0.016544905,0.385886926,0,2ª,0,35.77922078
30,11/7/2020,A,85361,1,1,group 27,7,3,0.031896129,0.652624621,-0.985719676,0.668639812,1.178705333,-0.19322794,0.006007451,-0.361022753,1.178705333,326.2000122,11/7/2020 17:20,11/7/2020 17:22,11/7/2020 17:27,,11/7/2020 18:00,11/7/2020 17:49,11/7/2020 17:47,11/7/2020 17:58,11/7/2020 18:11,20.63333333,1.255018457,0.013956508,-0.488662884,0,2ª,0,37.01298701
31,11/7/2020,A,85371,1,1,group 27,11,3,0.282074152,0.732663533,-0.898640282,0.506181343,0.238943146,-0.191885167,0.091660626,0.350324453,0.238943146,326.2000122,11/7/2020 18:15,11/7/2020 18:10,11/7/2020 18:12,,11/7/2020 18:41,11/7/2020 18:39,11/7/2020 18:39,11/7/2020 18:48,11/7/2020 19:07,27.65,-0.612092859,0.012847254,0.280673651,0,2ª,0,38.24675325
32,11/7/2020,A,585231,1,1,group 27,9,3,0.365029486,0.131718662,-0.784589752,-0.16212993,0.78083777,-0.006562,-0.092779153,0.208431757,0.78083777,326.2000122,11/7/2020 18:59,11/7/2020 18:50,11/7/2020 18:53,,11/7/2020 19:16,11/7/2020 19:20,11/7/2020 19:20,11/7/2020 19:36,11/7/2020 19:56,27.6,0.912065549,0.0119229,0.823760841,0,2ª,0,39.48051948
33,11/7/2020,D,585241,1,1,group 27,10,2,1.066742593,-0.434893138,0.408176968,0.498094374,-0.341781747,0.792160752,0.294729372,-0.858641236,-0.341781747,326.2000122,11/7/2020 20:00,11/7/2020 20:15,11/7/2020 20:18,,11/7/2020 20:44,11/7/2020 20:41,11/7/2020 20:32,11/7/2020 21:22,11/7/2020 21:30,14.68333333,0.132471046,0.059125976,-0.199952373,0,2ª,0,40.71428571
34,11/7/2020,D,85391,1,1,group 27,6,3,0.028010949,0.176968373,-0.104351389,0.353672043,0.162319701,0.145285277,0.093897912,0.468903069,0.162319701,326.2000122,11/7/2020 21:04,11/7/2020 21:14,11/7/2020 21:16,,11/7/2020 21:41,11/7/2020 21:37,11/7/2020 21:34,11/7/2020 21:44,11/7/2020 22:16,17.6,-0.722931485,0.022092261,0.277277001,0,2ª,0,41.94805195
35,11/7/2020,D,85411,1,1,group 27,8,4,0.846028281,-0.468672796,-0.908678475,-0.556941829,-0.116701085,-0.012662382,-0.092033442,0.313178534,-0.116701085,326.2000122,11/7/2020 22:39,11/7/2020 22:39,11/7/2020 22:44,,11/7/2020 23:15,11/7/2020 23:04,11/7/2020 23:02,11/7/2020 23:19,11/7/2020 23:48,17.78333333,-1.441395152,0.021722399,0.371592113,0,2ª,0,43.18181818
36,12/7/2020,D,85451,1,1,group 27,11,3,0.170491136,0.114827723,-0.260585345,0.84792202,0.618571019,0.063764525,0.374353704,-0.47467618,0.618571019,326.2000122,12/7/2020 3:43,12/7/2020 3:45,12/7/2020 4:14,12/7/2020 3:53,12/7/2020 4:53,12/7/2020 4:25,12/7/2020 4:23,12/7/2020 4:53,12/7/2020 5:24,33.13333333,0.132282936,0.020797769,-0.329369127,0,2ª,0,44.41558442
37,12/7/2020,D,85461,1,1,group 27,10,1,0.276079713,-0.109586549,0.386316041,0.909100719,1.234140294,0.600082658,0.903218529,0.838513299,1.234140294,326.2000122,12/7/2020 5:10,12/7/2020 5:05,12/7/2020 5:10,12/7/2020 5:12,12/7/2020 5:36,12/7/2020 5:27,12/7/2020 5:24,12/7/2020 5:40,12/7/2020 6:12,14.65,1.018514948,0.019873175,0.40774034,0,2ª,0,45.64935065
38,12/7/2020,D,85471,1,1,group 27,2,4,0.379467107,0.390184511,-0.981342931,-0.735832651,-0.273687506,-0.012292639,0.091474227,0.34261297,-0.273687506,326.2000122,12/7/2020 5:57,12/7/2020 5:58,12/7/2020 6:02,12/7/2020 6:05,12/7/2020 6:29,12/7/2020 6:19,12/7/2020 6:18,12/7/2020 6:35,12/7/2020 7:02,15.51666667,-1.480430828,0.017839185,0.47097777,0,2ª,0,46.88311688
39,12/7/2020,D,85481,1,1,group 27,9,1,0.103417148,-0.50094111,0.258410444,0.102296298,0.420687392,0.413648042,0.429323426,1.436995005,0.420687392,326.2000122,12/7/2020 6:53,12/7/2020 6:46,12/7/2020 6:51,12/7/2020 6:59,12/7/2020 7:18,12/7/2020 7:14,12/7/2020 7:11,12/7/2020 7:30,12/7/2020 7:50,20.81666667,-0.89657166,0.017469384,0.29533433,0,2ª,0,48.11688312
40,12/7/2020,A,85501,1,1,group 27,8,4,0.277077398,0.030600968,-0.980375412,-0.97604412,-0.380748554,-0.099495291,-0.188818561,1.332826767,-0.380748554,326.2000122,12/7/2020 8:52,12/7/2020 8:41,12/7/2020 8:46,,12/7/2020 9:23,12/7/2020 9:07,12/7/2020 9:04,12/7/2020 9:36,12/7/2020 9:51,17.36666667,0.131906744,0.010813702,0.333495212,0,2ª,0,49.35064935
41,12/7/2020,A,85511,1,1,group 27,7,3,0.009704531,0.48024829,-0.563265765,0.278275348,0.677069655,0.063022178,0.091101449,0.312363179,0.677069655,326.2000122,12/7/2020 11:12,12/7/2020 11:10,12/7/2020 11:13,,12/7/2020 11:41,12/7/2020 11:43,12/7/2020 11:40,12/7/2020 11:53,12/7/2020 12:23,26.68333333,0.671826098,0.003974133,0.361865308,0,2ª,0,50.58441558
42,12/7/2020,A,85521,1,1,group 27,8,4,0.28027371,-0.040965498,-1.031731711,-0.038003403,0.342820849,-0.097628822,0.090915069,0.334735249,0.342820849,326.2000122,12/7/2020 12:01,12/7/2020 12:00,12/7/2020 12:05,,12/7/2020 12:27,12/7/2020 12:31,12/7/2020 12:30,12/7/2020 12:41,12/7/2020 13:10,24.65,-0.596117591,0.003419598,0.32135525,0,2ª,0,51.81818182
43,12/7/2020,A,85531,1,1,group 27,9,2,0.279873859,-0.487490071,0.395360726,0.35011549,-0.224704425,0.402730221,0.775082116,1.117928243,-0.224704425,326.2000122,12/7/2020 13:08,12/7/2020 13:12,12/7/2020 13:18,,12/7/2020 14:16,12/7/2020 14:05,12/7/2020 14:04,12/7/2020 14:16,12/7/2020 14:47,46.33333333,-1.502656734,0.713642017,0.953080499,0,2ª,0,53.05194805
44,12/7/2020,A,85551,1,1,group 35,8,3,0.008595384,0.482812153,0.747365919,1.362364469,1.596191981,0.470285753,0.560224684,-1.050306326,1.596191981,326.2000122,12/7/2020 15:43,12/7/2020 15:42,12/7/2020 15:53,12/7/2020 15:55,12/7/2020 16:25,12/7/2020 16:24,12/7/2020 16:13,12/7/2020 16:40,12/7/2020 16:56,19.66666667,0.697825539,0.002680221,-0.475139393,0,2ª,0,54.28571429
45,12/7/2020,A,85561,1,1,group 35,2,3,0.008410528,0.281073682,0.198606058,0.25209725,0.985231505,-0.31992125,0.140191796,-0.830723178,0.985231505,326.2000122,12/7/2020 16:35,12/7/2020 16:34,12/7/2020 16:39,12/7/2020 16:41,12/7/2020 17:12,12/7/2020 17:06,12/7/2020 16:58,12/7/2020 17:15,12/7/2020 17:51,19.26666667,0.816517321,0.002310534,-0.785274307,0,2ª,0,55.51948052
46,12/7/2020,A,85581,1,1,group 35,7,3,0.372016603,-1.032267921,0.284878483,1.092839346,1.456480032,-0.377760447,0.304434993,-1.095286721,1.456480032,326.2000122,12/7/2020 18:27,12/7/2020 18:24,12/7/2020 18:29,12/7/2020 18:31,12/7/2020 19:09,12/7/2020 18:55,12/7/2020 18:47,12/7/2020 19:02,12/7/2020 19:35,17.95,1.277051823,0.002125691,-0.603534374,0,2ª,0,56.75324675
47,12/7/2020,A,85591,1,1,group 35,8,3,0.281273731,-0.029675916,0.182313718,0.682939847,1.233293413,-0.377334126,0.238160481,-0.137553609,1.233293413,326.2000122,12/7/2020 19:29,12/7/2020 19:31,12/7/2020 19:35,12/7/2020 19:37,12/7/2020 20:12,12/7/2020 20:01,12/7/2020 19:53,12/7/2020 20:07,12/7/2020 20:35,17.45,1.073130479,0.001756005,0.084581829,0,2ª,0,57.98701299
48,12/7/2020,D,585451,1,1,group 35,6,3,0.689154636,-1.354177502,0.201876938,0.469824659,0.49927953,-0.32033083,0.301395907,-0.987187015,0.49927953,326.2000122,12/7/2020 21:41,12/7/2020 21:40,12/7/2020 21:45,12/7/2020 21:47,12/7/2020 22:29,12/7/2020 22:05,12/7/2020 21:57,12/7/2020 22:11,12/7/2020 22:47,11.51666667,0.5298722,0.001571162,-1.038205822,0,2ª,0,59.22077922
49,7/13/2020,D,85631,1,1,group 35,6,4,0.374353704,-0.968433225,-0.035412118,0.815078867,0.379680595,-0.400341221,-0.51916345,-0.340120718,0.379680595,326.2000122,7/13/2020 0:56,7/13/2020 0:55,7/13/2020 1:01,7/13/2020 1:03,7/13/2020 1:36,7/13/2020 1:30,7/13/2020 1:22,7/13/2020 1:37,13/07/2020 01:49,21.26666667,1.272358899,0.000831791,0.076024019,0,2ª,0,60.45454545
50,7/13/2020,D,85671,1,1,group 35,10,3,1.365929794,-1.613181178,0.66230762,0.967489721,0.942190905,0.469824659,0.298160338,-0.532568388,0.942190905,326.2000122,7/13/2020 5:59,7/13/2020 5:58,7/13/2020 6:04,7/13/2020 6:06,7/13/2020 6:37,7/13/2020 6:28,7/13/2020 6:20,7/13/2020 6:44,13/07/2020 07:06,15.83333333,0.628661224,0.000646949,-0.985231505,0,2ª,0,61.68831169
51,7/13/2020,D,85681,1,1,group 35,11,2,0.943089849,-0.881898849,0.629759727,0.337425537,0.035041974,-0.321970225,-0.014880912,-0.114453147,0.035041974,326.2000122,7/13/2020 6:57,7/13/2020 7:03,7/13/2020 7:05,7/13/2020 7:06,7/13/2020 7:41,7/13/2020 7:39,7/13/2020 7:27,7/13/2020 7:45,13/07/2020 08:00,22.65,-0.804043321,-0.000277264,0.076209935,0,2ª,0,62.92207792
52,7/13/2020,C,85701,1,1,group 35,7,3,-0.866420311,0.370743534,0.328339361,0.84000871,0.918473338,0.068777247,0.424444029,-1.226581204,0.918473338,326.2000122,7/13/2020 8:57,7/13/2020 8:55,7/13/2020 8:58,7/13/2020 9:00,7/13/2020 9:36,7/13/2020 9:25,7/13/2020 9:18,7/13/2020 9:36,13/07/2020 10:06,19.31666667,0.879890804,0.004898363,-0.52013203,0,2ª,0,64.15584416
53,7/13/2020,C,85721,1,1,group 35,2,4,0.339290907,0.50094111,0.202647183,1.067319718,1.478780489,-0.265140871,-0.152277553,-0.125517098,1.478780489,21.04000092,7/13/2020 11:15,7/13/2020 11:24,7/13/2020 11:29,7/13/2020 11:50,7/13/2020 12:02,7/13/2020 12:05,7/13/2020 11:58,7/13/2020 12:12,13/07/2020 12:19,29.01666667,1.636490918,0.626468756,-0.405123827,0,2ª,0,65.38961039
54,7/13/2020,C,85731,1,1,group 33,10,4,0.339705754,0.458589335,-0.273089945,1.69576231,1.941103714,0.706602664,0.848301498,-0.024311566,1.941103714,326.2000122,7/13/2020 13:16,7/13/2020 13:11,7/13/2020 13:19,7/13/2020 13:20,7/13/2020 14:10,7/13/2020 13:48,7/13/2020 13:42,7/13/2020 14:25,13/07/2020 14:31,23.35,1.589184351,0.127395318,-1.011780615,0,2ª,0,66.62337662
55,7/13/2020,C,85751,1,1,group 33,2,3,0.340328244,1.247937718,-0.411675618,0.613976997,1.016952673,-0.265339186,-0.330193443,0.078627334,1.016952673,326.2000122,7/13/2020 15:47,7/13/2020 15:49,7/13/2020 15:53,7/13/2020 15:58,7/13/2020 16:21,7/13/2020 16:22,7/13/2020 16:19,7/13/2020 16:29,13/07/2020 16:47,25.61666667,1.368326111,0.287486522,-0.677069655,0,2ª,0,67.85714286
56,7/13/2020,C,585631,1,1,group 33,9,1,-1.436995005,0.685596843,0.672116437,-0.360391172,-0.418042785,0.671535872,0.910369401,0.113329613,-0.418042785,326.2000122,7/13/2020 17:51,7/13/2020 17:51,7/13/2020 17:53,7/13/2020 17:55,7/13/2020 18:32,7/13/2020 18:33,7/13/2020 18:31,7/13/2020 18:40,13/07/2020 19:07,38.41666667,-1.174278704,1.177964351,0.569379418,0,2ª,0,69.09090909
57,7/13/2020,C,85781,1,1,group 33,16,1,0.90280076,-0.098002061,0.544922928,1.445851833,1.351871375,0.436010315,0.283676081,0.112955165,1.351871375,326.2000122,7/13/2020 19:10,7/13/2020 19:07,7/13/2020 19:09,7/13/2020 19:12,7/13/2020 20:04,7/13/2020 20:09,7/13/2020 20:09,7/13/2020 20:21,13/07/2020 20:29,59.31666667,1.596191981,0.966547937,0.290902952,0,2ª,0,70.32467532
58,7/13/2020,A,85811,1,1,group 34,9,3,0.017839185,0.542190753,0.071935163,0.516746247,0.349071133,0.43288495,-0.013032128,0.099308613,0.349071133,326.2000122,7/13/2020 22:54,7/13/2020 22:52,7/13/2020 22:58,7/13/2020 23:00,7/13/2020 23:29,7/13/2020 23:42,7/13/2020 23:41,7/13/2020 23:56,14/07/2020 00:05,43.36666667,-0.685596843,0.364184993,-0.339705754,0,2ª,0,71.55844156
59,7/14/2020,A,85831,1,1,group 34,2,3,0.274683877,0.183269332,-0.160801856,0.613707568,0.900300733,-0.107155209,0.427102998,-0.046521405,0.900300733,326.2000122,7/14/2020 0:47,7/14/2020 0:46,7/14/2020 0:55,7/14/2020 0:57,7/14/2020 1:42,7/14/2020 1:16,7/14/2020 1:14,7/14/2020 1:36,14/07/2020 02:15,19.56666667,0.454036713,0.00767111,-0.752881887,0,2ª,0,72.79220779
