groups,target,when,super_hero_group,tracking,place,tracking_times,crystal_type,unnamed_7,human_behavior_report,human_measure,crystal_weight,expected_factor_x,previous_factor_x,first_factor_x,expected_final_factor_x,final_factor_x,previous_adamantium,etherium_before_start,expected_start,start_process,start_subprocess1,start_critical_subprocess1,predicted_process_end,process_end,subprocess1_end,reported_on_tower,opened,chemical_x,raw_kryptonite,argon,pure_seastone,crystal_supergroup,cycle,NA_crystal_weight,NA_first_factor_x,NA_final_factor_x,NA_previous_adamantium,NA_etherium_before_start,NA_expected_start,NA_start_subprocess1,NA_start_critical_subprocess1,NA_predicted_process_end,NA_process_end,NA_subprocess1_end,NA_reported_on_tower,NA_opened,NA_chemical_x,NA_raw_kryptonite,NA_argon,NA_pure_seastone,NA_groups
35,93.33333333,2019-01-05,B,11231.0,1,1,group 202,19,2,700.0,334.4831,1653.0,1640.5,1599.0,1586.0,1595.0,0.0333,268.5,2019-01-05 14:51:00,2019-01-05 14:58:00,2019-01-05 15:01:00,2020-01-08 05:54:00,2019-01-05 15:35:00,2019-01-05 15:34:00,2019-01-05 15:26:00,2019-01-05 15:39:00,2019-01-05 15:55:00,24.61666667,1815.0,185.9342016,193.72,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
35,94.66666667,2019-01-05,B,11241.0,1,1,group 202,1,3,650.0,353.86,1647.0,1644.099976,1612.0,1597.0,1600.0,0.039,268.5,2019-01-05 15:48:00,2019-01-05 15:53:00,2019-01-05 15:56:00,2020-01-08 05:54:00,2019-01-05 16:30:00,2019-01-05 16:28:00,2019-01-05 16:21:00,2019-01-05 16:34:00,2019-01-05 16:53:00,24.38333333,1815.0,151.9403251,142.21,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
35,96.0,2019-01-05,B,11251.0,1,1,group 202,10,4,750.0,356.1674,1622.0,1612.099976,1584.0,1577.0,1574.0,0.0326,268.5,2019-01-05 16:40:00,2019-01-05 16:38:00,2019-01-05 16:41:00,2020-01-08 05:54:00,2019-01-05 17:15:00,2019-01-05 17:14:00,2019-01-05 17:06:00,2019-01-05 17:31:00,2019-01-05 17:48:00,24.73333333,1815.0,132.1017492,143.91,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
35,97.33333333,2019-01-05,B,513261.0,1,1,group 202,18,3,560.0,335.4138,1623.0,1639.099976,1600.0,1573.0,1580.0,0.0335,268.5,2019-01-05 17:53:00,2019-01-05 17:50:00,2019-01-05 17:54:00,2019-01-05 18:02:00,2019-01-05 18:31:00,2019-01-05 18:22:00,2019-01-05 18:14:00,2019-01-05 18:29:00,2019-01-05 18:42:00,19.51666667,2517.0,0.0,84.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,98.66666667,2019-01-05,B,513271.0,1,1,group 202,12,3,550.0,341.2949,1623.0,1615.300049,1588.0,1575.0,1581.0,0.0438,268.5,2019-01-05 19:24:00,2019-01-05 19:23:00,2019-01-05 19:26:00,2019-01-05 19:41:00,2019-01-05 20:01:00,2019-01-05 19:57:00,2019-01-05 19:48:00,2019-01-05 20:03:00,2019-01-05 20:23:00,22.21666667,1815.0,101.4663355,85.03,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
45,70.67114094,2019-01-05,Y,513291.0,2,1,group 202,18,3,550.0,346.1006,1624.0,1644.099976,1613.900024,1576.0,1590.199951,0.0202,268.5,2019-01-05 21:23:00,2019-01-05 21:20:00,2019-01-05 21:26:00,2019-01-05 21:31:00,2019-01-05 22:12:00,2019-01-05 21:52:00,2019-01-05 21:42:00,2019-01-05 22:00:00,2019-01-05 22:23:00,16.53333333,2751.0,0.0,152.51,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35,100.0,2019-01-05,Y,11291.0,1,1,group 184,12,4,900.0,342.3946,1656.0,1646.199951,1601.0,1603.0,1606.0,0.215,697.2000122,2019-01-05 22:54:00,2019-01-05 22:56:00,2019-01-05 22:59:00,2019-01-05 23:02:00,2019-01-05 23:35:00,2019-01-05 23:41:00,2019-01-05 23:37:00,2019-01-05 23:52:00,2019-02-05 00:38:00,37.96666667,1815.0,72.02195022,629.94,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,72.48322148,2019-01-05,Y,11301.0,2,1,group 184,16,4,660.0,342.29525,1636.0,1630.699951,1594.800049,1583.0,1582.0,0.288,268.5,2019-01-05 23:40:00,2019-01-05 23:39:00,2019-01-05 23:42:00,2020-01-08 05:54:00,2020-01-08 00:41:00,2019-01-05 23:50:00,2019-01-05 23:50:00,2019-02-05 01:15:00,2019-02-05 01:34:00,7.3,1815.0,0.0,355.17,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0
63,128.0,2019-01-06,W,516361.0,2,1,group 197,15,4,800.0,351.9859,1655.0,1648.199951,1606.900024,1603.0,1604.0,0.317,501.7999878,2019-01-06 00:34:00,2019-01-06 00:31:00,2019-01-06 01:03:00,2019-01-06 00:41:00,2019-01-06 01:40:00,2019-01-06 01:13:00,2019-01-06 01:07:00,2019-01-06 01:24:00,2019-01-06 02:12:00,31.73333333,1815.0,0.0,452.48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,128.7378641,2019-01-06,W,17211.0,1,1,group 197,1,2,640.0,330.9914,1665.0,1622.300049,1584.0,1589.0,1594.0,0.281,702.2000122,2019-01-06 01:42:00,2019-01-06 01:52:00,2019-01-06 02:00:00,2019-01-06 02:03:00,2019-01-06 02:38:00,2019-01-06 02:39:00,2019-01-06 02:36:00,2019-01-06 02:46:00,2019-01-06 03:08:00,36.51666667,1815.0,284.8744965,519.72,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,129.7777778,2019-01-06,W,17221.0,2,1,group 197,17,3,740.0,344.4119,1650.0,1619.199951,1590.199951,1582.0,1588.400024,0.261,561.4000244,2019-01-06 02:48:00,2019-01-06 02:45:00,2019-01-06 02:50:00,2019-01-06 02:55:00,2019-01-06 03:34:00,2019-01-06 03:22:00,2019-01-06 03:18:00,2019-01-06 03:40:00,2019-01-06 04:05:00,28.01666667,324.0,202.0526123,466.62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,131.5555556,2019-01-06,W,17231.0,2,1,group 197,10,2,620.0,333.4818,1666.0,1625.900024,1591.599976,1591.0,1592.099976,0.276,643.4000244,2019-01-06 03:43:00,2019-01-06 03:40:00,2019-01-06 03:44:00,2019-01-06 03:49:00,2019-01-06 04:29:00,2019-01-06 04:12:00,2019-01-06 04:08:00,2019-01-06 04:49:00,2019-01-06 05:04:00,24.03333333,1815.0,101.7329254,477.73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,133.3333333,2019-01-06,W,17241.0,2,1,group 197,15,3,680.0,356.8828,1650.0,1589.0,1563.400024,1584.0,1586.400024,0.338,740.9000244,2019-01-06 04:49:00,2019-01-06 04:46:00,2019-01-06 04:52:00,2019-01-06 04:57:00,2019-01-06 05:32:00,2019-01-06 05:30:00,2019-01-06 05:23:00,2019-01-06 05:53:00,2019-01-06 06:02:00,31.43333333,1815.0,463.2729187,678.72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,131.2621359,2019-01-06,W,516401.0,1,1,group 197,8,3,850.0,349.3642,1650.0,1642.800049,1613.0,1586.0,1584.0,0.281,430.6000061,2019-01-06 05:38:00,2019-01-06 05:39:00,2019-01-06 05:43:00,2019-01-06 05:47:00,2019-01-06 06:49:00,2019-01-06 06:14:00,2019-01-06 06:09:00,2019-01-06 06:36:00,2019-01-06 07:03:00,25.76666667,1860.0,0.0,380.97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,135.1111111,2019-01-06,W,516411.0,2,1,group 197,6,4,760.0,350.7613,1644.0,1639.5,1611.199951,1583.0,1587.800049,0.297,401.1000061,2019-01-06 06:38:00,2019-01-06 06:36:00,2019-01-06 06:41:00,2019-01-06 06:45:00,2019-01-06 07:24:00,2019-01-06 07:10:00,2019-01-06 07:07:00,2019-01-06 07:36:00,2019-01-06 08:03:00,26.16666667,2330.0,0.0,346.23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,136.8888889,2019-01-06,B,17271.0,2,1,group 202,8,4,700.0,354.2532,1624.0,1649.699951,1622.400024,1579.0,1584.099976,0.0087,268.5,2019-01-06 09:22:00,2019-01-06 09:22:00,2019-01-06 09:27:00,2020-01-08 05:54:00,2019-01-06 10:00:00,2019-01-06 10:04:00,2019-01-06 09:56:00,2019-01-06 10:33:00,2019-01-06 11:18:00,29.03333333,4530.0,0.0,191.9,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
63,138.6666667,2019-01-06,B,17281.0,2,1,group 202,6,4,1000.0,328.6081,1630.0,1653.0,1607.300049,1580.0,1583.699951,0.0375,268.5,2019-01-06 10:54:00,2019-01-06 10:59:00,2019-01-06 11:04:00,2019-01-06 11:05:00,2019-01-06 12:10:00,2019-01-06 11:44:00,2019-01-06 11:33:00,2019-01-06 12:23:00,2019-01-06 12:46:00,29.8,617.0,0.0,61.61,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,140.4444444,2019-01-06,B,17311.0,2,1,group 202,17,4,770.0,346.5675,1619.0,1614.347257,1640.199951,1575.0,1579.199951,0.05,12.11000061,2019-01-06 14:33:00,2019-01-06 14:19:00,2019-01-06 14:22:00,2019-01-06 14:25:00,2019-01-06 15:11:00,2019-01-06 15:02:00,2019-01-06 14:54:00,2019-01-06 15:23:00,2019-01-06 15:46:00,32.0,6581.0,0.0,110.09,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,133.7864078,2019-01-06,B,17321.0,1,1,group 183,6,3,700.0,339.4933,1672.0,1652.699951,1602.0,1608.0,1603.0,0.324,875.0,2019-01-06 15:11:00,2019-01-06 15:05:00,2019-01-06 15:08:00,2019-01-06 15:10:00,2019-01-06 16:00:00,2019-01-06 16:13:00,2019-01-06 16:09:00,2019-01-06 16:42:00,2019-01-06 16:51:00,60.88333333,1815.0,0.0,749.41,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,142.2222222,2019-01-06,B,17331.0,2,1,group 183,7,2,430.0,343.7056,1665.0,1640.400024,1593.300049,1590.0,1584.0,0.37,381.0,2019-01-06 16:02:00,2019-01-06 16:15:00,2019-01-06 16:16:00,2019-01-06 16:24:00,2019-01-06 16:55:00,2019-01-06 16:52:00,2019-01-06 16:51:00,2019-01-06 17:09:00,2019-01-06 17:43:00,35.0,1815.0,0.0,444.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,136.3106796,2019-01-06,B,17341.0,1,1,group 183,11,2,720.0,351.5587,1663.0,1628.0,1582.0,1590.0,1585.0,0.285,681.2000122,2019-01-06 16:57:00,2019-01-06 16:56:00,2019-01-06 17:02:00,2019-01-06 17:07:00,2019-01-06 17:52:00,2019-01-06 18:13:00,2019-01-06 18:12:00,2019-01-06 18:24:00,2019-01-06 18:31:00,69.41666667,706.0,352.1140137,647.58,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,144.0,2019-01-06,B,516491.0,2,1,group 183,17,4,700.0,346.3833,1635.0,1636.699951,1597.099976,1585.0,1580.400024,0.332,324.1000061,2019-01-06 17:40:00,2019-01-06 18:17:00,2019-01-06 18:18:00,2019-01-06 18:25:00,2019-01-06 18:57:00,2019-01-06 18:52:00,2019-01-06 18:50:00,2019-01-06 19:08:00,2019-01-06 19:25:00,32.0,2349.0,0.0,361.58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,138.8349515,2019-01-06,B,516501.0,1,1,group 183,6,4,750.0,352.1756,1638.0,1633.800049,1604.0,1579.0,1585.0,0.32,375.1000061,2019-01-06 18:57:00,2019-01-06 18:56:00,2019-01-06 19:04:00,2019-01-06 19:07:00,2019-01-06 20:10:00,2019-01-06 19:57:00,2019-01-06 19:56:00,2019-01-06 20:14:00,2019-01-06 20:26:00,52.11666667,2728.0,0.0,387.06,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,145.7777778,2019-01-06,Y,516511.0,2,1,group 183,7,4,530.0,347.8584,1637.0,1624.5,1592.199951,1582.0,1585.099976,0.275,358.8999939,2019-01-06 19:53:00,2019-01-06 20:01:00,2019-01-06 20:02:00,2019-01-06 20:08:00,2019-01-06 20:33:00,2019-01-06 20:37:00,2019-01-06 20:33:00,2019-01-06 20:51:00,2019-01-06 21:16:00,31.3,1815.0,0.0,381.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,141.3592233,2019-01-06,Y,17381.0,1,1,group 183,15,3,800.0,350.191,1654.0,1629.599976,1590.0,1582.0,1590.0,0.296,481.0,2019-01-06 20:49:00,2019-01-06 20:49:00,2019-01-06 20:52:00,2019-01-06 20:56:00,2019-01-06 21:36:00,2019-01-06 21:27:00,2019-01-06 21:27:00,2019-01-06 21:38:00,2019-01-06 21:58:00,34.4,547.0,110.0416412,445.43,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,143.8834951,2019-01-06,Y,17411.0,1,1,group 183,7,3,650.0,339.9506,1663.0,1644.0,1616.0,1604.0,1607.0,0.294,566.2000122,2019-01-06 23:34:00,2019-01-06 23:32:00,2019-01-06 23:35:00,2019-01-06 23:41:00,2019-02-06 00:26:00,2019-02-06 00:17:00,2019-02-06 00:09:00,2019-02-06 00:28:00,2019-02-06 01:11:00,34.16666667,550.0,0.0,486.74,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,141.4736842,2019-01-07,G,23271.0,1,1,group 183,15,3,720.0,339.7915,1643.0,1611.099976,1583.0,1583.0,1578.0,0.05,598.7000122,2019-01-07 00:55:00,2019-01-07 00:47:00,2019-01-07 01:36:00,2019-01-07 00:56:00,2019-01-07 01:35:00,2019-01-07 01:46:00,2019-01-07 01:42:00,2019-01-07 01:52:00,2019-01-07 01:57:00,50.06666667,1815.0,192.2979856,556.17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,109.6774194,2019-01-07,G,23281.0,2,1,group 183,6,3,500.0,347.8081,1661.0,1632.400024,1605.099976,1603.0,1604.699951,0.322,680.2000122,2019-01-07 03:44:00,2019-01-07 03:44:00,2019-01-07 03:49:00,2019-01-07 03:52:00,2019-01-07 04:26:00,2019-01-07 04:36:00,2019-01-07 04:25:00,2019-09-11 23:57:00,2021-06-01 10:22:00,35.93333333,1815.0,138.2721625,612.06,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
65,143.1578947,2019-01-07,G,23291.0,1,1,group 183,9,4,760.0,342.1833,1633.0,1612.800049,1586.0,1608.0,1593.0,0.325,765.2999878,2019-01-07 04:59:00,2019-01-07 04:55:00,2019-01-07 05:00:00,2019-01-07 05:11:00,2019-01-07 05:39:00,2019-01-07 05:55:00,2019-01-07 05:54:00,2019-01-07 06:07:00,2019-01-07 06:15:00,54.75,1815.0,482.8575764,744.33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,110.7741935,2019-01-07,G,522621.0,2,1,group 183,19,2,690.0,352.0983,1662.0,1634.199951,1585.300049,1588.0,1585.5,0.299,709.9000244,2019-01-07 05:35:00,2019-01-07 05:58:00,2019-01-07 06:02:00,2019-01-07 06:05:00,2019-01-07 06:38:00,2019-01-07 06:45:00,2019-01-07 06:44:00,2019-01-07 06:54:00,2019-01-07 07:02:00,42.46666667,670.0,232.2921912,642.36,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,144.8421053,2019-01-07,G,23301.0,1,1,group 183,17,1,690.0,334.5178,1672.0,1627.400024,1581.0,1584.0,1584.0,0.316,589.9000244,2019-01-07 06:38:00,2019-01-07 06:48:00,2019-01-07 06:53:00,2019-01-07 06:59:00,2019-01-07 07:28:00,2019-01-07 07:37:00,2019-01-07 07:33:00,2019-01-07 07:44:00,2019-01-07 07:52:00,39.16666667,3.0,160.073336,489.49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,111.8709677,2019-01-07,G,23311.0,2,1,group 183,18,3,630.0,349.7802,1653.0,1602.5,1562.400024,1581.0,1578.699951,0.05,848.5999756,2019-01-07 07:28:00,2019-01-07 07:37:00,2019-01-07 07:42:00,2019-01-07 07:46:00,2019-01-07 08:22:00,2019-01-07 08:29:00,2019-01-07 08:25:00,2019-01-07 08:39:00,2019-01-07 08:44:00,42.41666667,1815.0,401.5872896,696.9,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,146.5263158,2019-01-07,Y,23321.0,1,1,group 183,15,4,800.0,337.9845,1649.0,1623.900024,1570.0,1580.0,1581.0,0.294,494.2999878,2019-01-07 08:17:00,2019-01-07 08:32:00,2019-01-07 08:43:00,2019-01-07 08:48:00,2019-01-07 09:20:00,2019-01-07 09:24:00,2019-01-07 09:23:00,2019-01-07 09:32:00,2019-01-07 09:37:00,40.13333333,1.0,207.2412995,424.56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,112.9677419,2019-01-07,Y,23351.0,2,1,group 39,15,4,460.0,346.9853,1619.0,1606.699951,1574.800049,1592.0,1594.199951,0.0233,268.5,2019-01-07 12:14:00,2019-01-07 12:14:00,2019-01-07 12:19:00,2019-01-07 12:20:00,2019-01-07 12:46:00,2019-01-07 13:00:00,2019-01-07 12:58:00,2019-01-07 13:13:00,2019-01-07 13:22:00,39.51666667,1815.0,381.1616014,490.86,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
65,148.2105263,2019-01-07,Y,23361.0,1,1,group 39,7,4,700.0,327.7502,1613.0,1621.800049,1594.0,1582.0,1581.0,0.053,268.5,2019-01-07 12:57:00,2019-01-07 13:04:00,2019-01-07 13:09:00,2019-01-07 13:11:00,2019-01-07 13:47:00,2019-01-07 13:35:00,2019-01-07 13:29:00,2019-01-07 13:45:00,2019-01-07 14:31:00,20.11666667,1815.0,0.0,355.17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
19,114.0645161,2019-01-07,Y,23371.0,2,1,group 39,8,4,510.0,349.5299,1607.0,1583.599976,1565.599976,1583.0,1578.5,0.0462,268.5,2019-01-07 14:22:00,2019-01-07 14:52:00,2019-01-07 14:57:00,2019-01-07 14:58:00,2019-01-07 15:36:00,2019-01-07 15:37:00,2019-01-07 15:36:00,2019-01-07 15:47:00,2019-01-07 15:52:00,39.05,1709.0,401.6020506,436.32,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,149.8947368,2019-01-07,Y,23381.0,1,1,group 39,15,4,800.0,343.35,1621.0,1639.199951,1614.0,1582.0,1583.0,0.054,268.5,2019-01-07 15:47:00,2019-01-07 15:43:00,2019-01-07 15:49:00,2019-01-07 15:50:00,2019-01-07 16:27:00,2019-01-07 16:11:00,2019-01-07 16:10:00,2019-01-07 16:22:00,2019-01-07 17:00:00,20.9,3825.0,0.0,355.17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,115.1612903,2019-01-07,Y,23391.0,2,1,group 39,19,3,730.0,349.3448,1626.0,1614.300049,1596.0,1583.0,1580.400024,0.0404,268.5,2019-01-07 17:08:00,2019-01-07 17:05:00,2019-01-07 17:10:00,2019-01-07 17:12:00,2019-01-07 17:37:00,2019-01-07 17:33:00,2019-01-07 17:29:00,2019-01-07 17:47:00,2019-01-07 18:07:00,18.71666667,1815.0,0.0,36.36,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
65,151.5789474,2019-01-07,Y,23401.0,1,1,group 39,17,3,700.0,345.6577,1623.0,1608.900024,1592.0,1585.0,1585.0,0.0484,268.5,2019-01-07 18:15:00,2019-01-07 18:15:00,2019-01-07 18:20:00,2019-01-07 18:21:00,2019-01-07 18:47:00,2019-01-07 18:38:00,2019-01-07 18:36:00,2019-01-07 18:46:00,2019-01-07 19:12:00,16.1,1815.0,0.0,355.17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
19,116.2580645,2019-01-07,Y,23411.0,2,1,group 39,18,3,750.0,330.1412,1633.0,1631.599976,1613.099976,1598.0,1591.5,0.051,268.5,2019-01-07 19:02:00,2019-01-07 19:19:00,2019-01-07 19:24:00,2019-01-07 19:25:00,2019-01-07 19:51:00,2019-01-07 19:50:00,2019-01-07 19:48:00,2019-01-07 19:59:00,2019-01-07 20:23:00,24.25,1815.0,0.0,355.17,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
19,117.3548387,2019-01-07,W,522751.0,2,1,group 39,7,4,430.0,345.9438,1614.0,1645.599976,1615.199951,1581.0,1582.400024,0.051,268.5,2019-01-07 20:47:00,2019-01-07 20:59:00,2019-01-07 21:04:00,2019-01-07 21:06:00,2019-01-07 21:24:00,2019-01-07 21:27:00,2019-01-07 21:23:00,2019-01-07 21:33:00,2019-01-07 21:38:00,19.0,5327.0,0.0,355.17,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
